epoch,train_loss_token,ppl,valid_bleu_0_1,valid_bleu_x100,lr,is_best,early_stopped
1,5.421300,226.1800,0.001700,0.1700,0.000000e+00,0,0
2,3.630500,37.7300,0.066400,6.6400,0.000000e+00,0,0
3,2.990200,19.8900,0.111100,11.1100,0.000000e+00,0,0
4,2.638000,13.9900,0.114700,11.4700,0.000000e+00,0,0
5,2.390800,10.9200,0.147000,14.7000,0.000000e+00,0,0
6,2.206100,9.0800,0.186800,18.6800,0.000000e+00,1,0
7,2.062400,7.8600,0.164400,16.4400,0.000000e+00,0,0
8,1.956100,7.0700,0.186200,18.6200,0.000000e+00,1,0
9,1.874200,6.5200,0.181500,18.1500,0.000000e+00,0,0
10,1.820900,6.1800,0.170700,17.0700,0.000000e+00,0,0
11,1.783700,5.9500,0.167400,16.7400,0.000000e+00,0,0
12,1.766600,5.8500,0.154400,15.4400,0.000000e+00,0,0
13,1.774900,5.9000,0.124100,12.4100,0.000000e+00,0,0
14,1.851000,6.3700,0.177900,17.7900,0.000000e+00,0,0
15,2.004000,7.4200,0.102800,10.2800,0.000000e+00,0,0
